ID,Word,Japanese Meaning,Before Example,Before Example JP,After UX Example,After UX Example JP,Status,Notes
31,agreement,合意；契約,A landmark international agreement was reached to limit global warming to 1.5 degrees.,地球温暖化を1.5度に抑える画期的な国際協定が締結された。,The UX designer documented the agreement in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する合意、契約を記録した。,初稿レビュー待ち,UX職務文脈にリライト
32,population,人口,The ageing population presents significant challenges to sustainable healthcare systems.,高齢化する人口は、持続可能な医療システムに重大な課題をもたらしている。,The UX designer documented the population in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する人口を記録した。,初稿レビュー待ち,UX職務文脈にリライト
33,legal,法律の；合法的な,All companies are legally required to meet strict standards for industrial waste disposal.,すべての企業は産業廃棄物処理に関する厳格な基準を法的に満たす必要がある。,The UX designer wrote a legal note about the checkout form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、チェックアウトフォームについて「法律の、合法的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
34,fine,罰金；素晴らしい；細かい,Organisations that violate environmental regulations may face a substantial financial fine.,環境規制に違反した組織は、多額の罰金を科される可能性がある。,The UX designer wrote a fine note about the settings page in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、設定画面について「罰金、素晴らしい、細かい」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
35,theory,理論；学説,The theory of comparative advantage underpins much of modern international trade policy.,比較優位の理論は、現代の国際貿易政策の基礎をなしている。,The UX designer documented the theory in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する理論、学説を記録した。,初稿レビュー待ち,UX職務文脈にリライト
36,growth,成長；増加,Rapid economic growth has frequently come at the expense of environmental sustainability.,急速な経済成長はしばしば環境の持続可能性を犠牲にして実現されてきた。,The UX designer documented the growth in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する成長、増加を記録した。,初稿レビュー待ち,UX職務文脈にリライト
37,relationship,関係；つながり,The relationship between income inequality and social mobility has been widely studied.,所得格差と社会的流動性の関係は広く研究されてきた。,"The UX designer used the term ""relationship"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「relationship」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
38,property,財産；特性,Intellectual property rights play a vital role in encouraging technological innovation.,知的財産権は技術革新を促進する上で重要な役割を果たしている。,The UX designer documented the property in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する財産、特性を記録した。,初稿レビュー待ち,UX職務文脈にリライト
39,term,期間；用語,"In the long term, investing in renewable energy is considerably more cost-effective.",長期的には、再生可能エネルギーへの投資は大幅にコスト効率が高い。,The UX designer documented the term in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する期間、用語を記録した。,初稿レビュー待ち,UX職務文脈にリライト
40,throughout,〜の至る所に；〜を通じて,Biodiversity loss has been recorded throughout tropical rainforests across the globe.,生物多様性の損失は、世界中の熱帯雨林全体で記録されている。,"The UX designer used the term ""throughout"" when describing how to improve the accessibility audit.",UXデザイナーは、アクセシビリティ監査を改善する方法を説明する際に「throughout」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
41,previous,前の；以前の,The current study builds on the findings of previous research conducted over a decade.,現在の研究は10年間にわたり実施された以前の研究の知見を基盤としている。,The UX designer documented the previous in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する前の、以前のを記録した。,初稿レビュー待ち,UX職務文脈にリライト
43,significant,重要な；著しい；意義深い,The intervention led to a statistically significant reduction in hospital admission rates.,その介入により、入院率が統計的に有意に減少した。,The UX designer wrote a significant note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「重要な、著しい、意義深い」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
44,income,収入；所得,Income inequality has widened considerably in many high-income economies in recent years.,高所得国の多くで、近年所得格差が大幅に拡大している。,The UX designer documented the income in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する収入、所得を記録した。,初稿レビュー待ち,UX職務文脈にリライト
45,contract,契約；縮小する,Workers signed a legally binding contract guaranteeing fair wages and safe conditions.,労働者たちは公正な賃金と安全な労働条件を保証する法的拘束力のある契約を締結した。,"The UX designer used the term ""contract"" when describing how to improve the confirmation screen.",UXデザイナーは、確認画面を改善する方法を説明する際に「contract」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
46,consider,考慮する；みなす,Policymakers must consider the full social and environmental costs of industrial expansion.,政策立案者は産業拡大に伴う社会的・環境的コストを十分に考慮しなければならない。,"The UX designer used the term ""consider"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「consider」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
47,attempt,試みる；試み,The first attempt to introduce the legislation was rejected by a majority in parliament.,その法案を導入する最初の試みは、議会の過半数によって否決された。,The UX designer documented the attempt in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する試みる、試みを記録した。,初稿レビュー待ち,UX職務文脈にリライト
48,specific,特定の；具体的な,The guidelines provide specific emissions targets for each major industrial sector.,ガイドラインは主要な産業セクターごとの具体的な排出目標を定めている。,The UX designer wrote a specific note about the onboarding flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、オンボーディングフローについて「特定の、具体的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
49,claim,主張する；要求する,Researchers claim the new treatment reduces recovery time by approximately 40 percent.,研究者たちは新しい治療法により回復時間が約40%短縮すると主張している。,"The UX designer used the term ""claim"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「claim」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
50,leading,主要な；先頭の,She is one of the leading authorities on the intersection of poverty and public health.,彼女は貧困と公衆衛生の交点に関する第一人者の研究者の一人だ。,The UX designer wrote a leading note about the settings page in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、設定画面について「主要な、先頭の」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
51,potential,潜在的な；可能性,Offshore wind farms have enormous potential to supply clean energy at a national scale.,沖合の風力発電所は、国家規模でクリーンエネルギーを供給する大きな可能性を持っている。,The UX designer wrote a potential note about the account setup flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アカウント設定フローについて「潜在的な、可能性」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
52,demand,需要；要求する,Global demand for electric vehicles is projected to triple within the next ten years.,電気自動車の世界需要は今後10年以内に3倍になると予測されている。,"The UX designer used the term ""demand"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「demand」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
53,unless,〜でない限り,"Unless carbon emissions are dramatically reduced, average temperatures will continue to rise.",炭素排出量が大幅に削減されない限り、平均気温は上昇し続けるだろう。,The UX designer wrote a unless note about the design review in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインレビューについて「でない限り」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
54,access,アクセス；利用する,Equal access to quality education is regarded as a fundamental human right worldwide.,質の高い教育への平等なアクセスは、基本的人権として広く認識されている。,The UX designer improved access to help content from every step of the flow.,UXデザイナーは、フローの各ステップからヘルプ内容にアクセスしやすくした。,初稿レビュー待ち,UX職務文脈にリライト
55,independent,独立した,An independent audit was commissioned to verify the accuracy of the financial reports.,財務報告の正確性を検証するため、独立した監査が委託された。,The UX designer wrote a independent note about the content guideline in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、コンテンツガイドラインについて「独立した」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
56,benefit,利益；恩恵,The long-term health benefits of preventive medicine far outweigh the initial investment.,予防医療の長期的な健康上の利点は、当初の投資費用を大きく上回る。,The UX designer explained the benefit of each notification setting in plain language.,UXデザイナーは、各通知設定の利点をわかりやすい言葉で説明した。,初稿レビュー待ち,UX職務文脈にリライト
57,employment,雇用；就業,The shift towards automation poses a serious threat to employment in manufacturing.,自動化への移行は製造業における雇用に深刻な脅威をもたらしている。,The UX designer documented the employment in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する雇用、就業を記録した。,初稿レビュー待ち,UX職務文脈にリライト
58,sales,販売；売上,Sales of electric vehicles have surged globally as battery production costs continue to fall.,バッテリー生産コストが下がり続けるにつれ、電気自動車の世界販売台数が急増した。,The UX designer documented the sales in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する販売、売上を記録した。,初稿レビュー待ち,UX職務文脈にリライト
61,application,申請；応用；アプリ,The application of artificial intelligence to medical diagnosis has expanded rapidly.,医療診断における人工知能の応用は急速に拡大している。,The UX designer reviewed the application form to reduce unnecessary questions.,UXデザイナーは、不要な質問を減らすために申請フォームを見直した。,初稿レビュー待ち,UX職務文脈にリライト
62,suppose,〜と思う；仮定する,It would be wrong to suppose that higher income automatically translates to greater happiness.,高い収入が自動的に幸福につながると思い込むのは間違いだろう。,"The UX designer used the term ""suppose"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「suppose」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
63,immediately,すぐに；直ちに,Governments must act immediately to address the growing threat of climate change.,政府は気候変動の増大する脅威に対処するため、即座に行動しなければならない。,"The UX designer used the term ""immediately"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「immediately」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
64,opportunity,機会；チャンス,Higher education provides individuals with the opportunity to improve their career prospects.,高等教育は個人にキャリアの見通しを向上させる機会を与える。,The usability test revealed an opportunity to simplify the account setup flow.,ユーザビリティテストにより、アカウント設定フローを簡素化する機会が明らかになった。,初稿レビュー待ち,UX職務文脈にリライト
65,film,映画；撮影する,The documentary film raised global awareness of the devastating effects of ocean pollution.,そのドキュメンタリー映画は海洋汚染の壊滅的な影響への世界的な認識を高めた。,"The UX designer used the term ""film"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「film」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
66,trust,信頼；信託；信じる,Public trust in government institutions has declined significantly over the past two decades.,政府機関への国民の信頼はこの20年間で大幅に低下した。,The UX designer documented the trust in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する信頼、信託、信じるを記録した。,初稿レビュー待ち,UX職務文脈にリライト
67,effective,効果的な；有効な,Vaccination has proven to be the most effective means of preventing infectious disease.,ワクチン接種は感染症を防ぐ最も効果的な手段であることが証明されている。,The most effective microcopy tells users what to do next.,最も効果的なマイクロコピーは、次に何をすべきかをユーザーに伝える。,初稿レビュー待ち,UX職務文脈にリライト
68,region,地域；地方,The northern region of the country receives less than 200 millimetres of rainfall annually.,その国の北部地域は年間200ミリ未満の降水量しか受け取っていない。,The UX designer localized the date format for each region.,UXデザイナーは、各地域に合わせて日付形式をローカライズした。,初稿レビュー待ち,UX職務文脈にリライト
69,degree,程度；学位；度,The degree to which climate change affects agriculture varies considerably by region.,気候変動が農業に与える影響の程度は地域によって大幅に異なる。,The UX designer documented the degree in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する程度、学位、度を記録した。,初稿レビュー待ち,UX職務文脈にリライト
70,traditional,伝統的な,Traditional fishing communities are among the most vulnerable to the effects of overfishing.,伝統的な漁業コミュニティは乱獲の影響を最も受けやすい集団の一つだ。,The UX designer wrote a traditional note about the prototype test in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、プロトタイプテストについて「伝統的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
71,election,選挙,Voter turnout in the election reached its highest level in thirty years.,その選挙での投票率は30年間で最高水準に達した。,The UX designer documented the election in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する選挙を記録した。,初稿レビュー待ち,UX職務文脈にリライト
72,parliament,議会；国会,Parliament passed new legislation requiring a 40 percent reduction in carbon emissions by 2030.,議会は2030年までに炭素排出量を40%削減することを義務付ける新法を可決した。,The UX designer documented the parliament in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する議会、国会を記録した。,初稿レビュー待ち,UX職務文脈にリライト
73,review,評価；見直す；レビュー,An independent review of the evidence concluded that the policy had been largely ineffective.,証拠の独立した審査により、政策はほぼ効果がなかったと結論づけられた。,The UX designer scheduled a design review before the prototype test.,UXデザイナーはプロトタイプテストの前にデザインレビューを予定した。,初稿レビュー待ち,UX職務文脈にリライト
74,species,種（生物）,Over one million species are currently at risk of extinction due to habitat destruction.,100万種以上の生物が現在、生息地の破壊により絶滅の危機に瀕している。,The UX designer documented the species in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する種（生物）を記録した。,初稿レビュー待ち,UX職務文脈にリライト
75,supply,供給；提供する,The global supply of fresh water is under increasing pressure from population growth.,淡水の世界供給は人口増加からますます大きな圧力を受けている。,"The UX designer used the term ""supply"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「supply」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
78,physical,物理的な；身体的な,Regular physical activity is strongly associated with reduced rates of chronic illness.,定期的な身体活動は慢性疾患の低い発生率と強く関連している。,The UX designer wrote a physical note about the mobile form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、モバイルフォームについて「物理的な、身体的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
79,complex,複雑な,The relationship between poverty and educational attainment is highly complex.,貧困と学業成績の間の関係は非常に複雑だ。,The UX designer wrote a complex note about the design system in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインシステムについて「複雑な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
80,responsibility,責任,It is the responsibility of wealthier nations to take the lead on reducing carbon emissions.,炭素排出削減を主導する責任は裕福な国々にある。,The UX designer documented the responsibility in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する責任を記録した。,初稿レビュー待ち,UX職務文脈にリライト
81,opposition,反対；野党,The proposed reforms faced fierce opposition from industry groups and trade unions.,提案された改革は産業界と労働組合から激しい反対に直面した。,The UX designer documented the opposition in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する反対、野党を記録した。,初稿レビュー待ち,UX職務文脈にリライト
82,division,分割；部門,The growing division between rich and poor poses a serious threat to social cohesion.,富裕層と貧困層の間の拡大する分断は社会的結束に深刻な脅威をもたらしている。,The UX designer documented the division in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する分割、部門を記録した。,初稿レビュー待ち,UX職務文脈にリライト
83,surface,表面；水面,Rising ocean temperatures are altering the surface conditions of marine ecosystems.,海洋温度の上昇は海洋生態系の表層条件を変化させている。,The UX designer documented the surface in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する表面、水面を記録した。,初稿レビュー待ち,UX職務文脈にリライト
84,equipment,設備；機器,Access to modern medical equipment is severely limited in many low-income countries.,最新の医療設備へのアクセスは多くの低所得国で著しく制限されている。,The UX designer documented the equipment in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する設備、機器を記録した。,初稿レビュー待ち,UX職務文脈にリライト
85,suggest,提案する；示唆する,The data strongly suggest that early childhood intervention improves long-term educational outcomes.,データは、幼少期の早期介入が長期的な教育的成果を大幅に改善することを強く示唆している。,"The UX designer used the term ""suggest"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「suggest」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
86,exchange,交換する；取引所,Cultural exchange programmes play an important role in fostering international understanding.,文化交流プログラムは国際的な理解を育む上で重要な役割を果たしている。,"The UX designer used the term ""exchange"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「exchange」という語を使った。,初稿レビュー待ち,UX職務文脈にリライト
87,otherwise,さもなければ；別の方法で,"Investment in education must be sustained; otherwise, long-term economic growth will stall.",教育への投資は維持されなければならない。そうでなければ長期的な経済成長は停滞するだろう。,The UX designer wrote a otherwise note about the content guideline in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、コンテンツガイドラインについて「さもなければ、別の方法で」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
88,essential,不可欠な；本質的な,Access to clean water is essential for maintaining basic standards of public health.,清潔な水へのアクセスは公衆衛生の基本的水準を維持するために不可欠だ。,The UX designer wrote a essential note about the accessibility audit in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アクセシビリティ監査について「不可欠な、本質的な」という意味合いのメモを書いた。,初稿レビュー待ち,UX職務文脈にリライト
89,function,機能；役割,The primary function of the regulatory body is to ensure consumer protection.,免疫システムの主な機能は感染源から体を守ることだ。,The UX designer documented the function in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する機能、役割を記録した。,初稿レビュー待ち,UX職務文脈にリライト
90,slightly,わずかに；少し,Average global temperatures have risen by slightly more than one degree Celsius since 1850.,世界の平均気温は1850年以降、1度強上昇している。,The UX designer documented the slightly in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関するわずかに、少しを記録した。,初稿レビュー待ち,UX職務文脈にリライト
91,aid,援助；助ける,International aid must be carefully targeted to address the root causes of poverty.,国際援助は貧困の根本原因に対処するため、慎重に対象を絞る必要がある。,The UX designer documented the aid in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する援助、助けるを記録した。,初稿レビュー待ち,UX職務文脈にリライト
