ID,単語 Word,発音記号,品詞,難易度 CEFR,カテゴリ,日本語訳,例文 Example,例文訳,語源・語根,接頭辞,類義語 Synonyms,反義語 Antonyms,IELTS頻度,英検頻度,大学入試頻度,総合優先度
47,attempt,,名/他,,IELTS VOCAB,試みる；試み,The UX designer documented the attempt in the design system so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインシステムに関する試みる、試みを記録した。,,,,,★★★,,,🔴 必須
48,specific,,形,,IELTS VOCAB,特定の；具体的な,The UX designer wrote a specific note about the onboarding flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、オンボーディングフローについて「特定の、具体的な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
49,claim,,動/句,,IELTS VOCAB,主張する；要求する,"The UX designer used the term ""claim"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「claim」という語を使った。,,,,,★★★,,,🔴 必須
50,leading,,形,,IELTS VOCAB,主要な；先頭の,The UX designer wrote a leading note about the settings page in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、設定画面について「主要な、先頭の」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
51,potential,,形,,IELTS VOCAB,潜在的な；可能性,The UX designer wrote a potential note about the account setup flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アカウント設定フローについて「潜在的な、可能性」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
52,demand,,動/句,,IELTS VOCAB,需要；要求する,"The UX designer used the term ""demand"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「demand」という語を使った。,,,,,★★★,,,🔴 必須
53,unless,,動/句,,IELTS VOCAB,〜でない限り,The UX designer wrote a unless note about the design review in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインレビューについて「でない限り」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
54,access,,動/句,,IELTS VOCAB,アクセス；利用する,The UX designer improved access to help content from every step of the flow.,UXデザイナーは、フローの各ステップからヘルプ内容にアクセスしやすくした。,,,,,★★★,,,🔴 必須
55,independent,,名/他,,IELTS VOCAB,独立した,The UX designer wrote a independent note about the content guideline in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、コンテンツガイドラインについて「独立した」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
56,benefit,,名/他,,IELTS VOCAB,利益；恩恵,The UX designer explained the benefit of each notification setting in plain language.,UXデザイナーは、各通知設定の利点をわかりやすい言葉で説明した。,,,,,★★★,,,🔴 必須
57,employment,,名/他,,IELTS VOCAB,雇用；就業,The UX designer documented the employment in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する雇用、就業を記録した。,,,,,★★★,,,🔴 必須
58,sales,,名/他,,IELTS VOCAB,販売；売上,The UX designer documented the sales in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する販売、売上を記録した。,,,,,★★★,,,🔴 必須
61,application,,名/他,,IELTS VOCAB,申請；応用；アプリ,The UX designer reviewed the application form to reduce unnecessary questions.,UXデザイナーは、不要な質問を減らすために申請フォームを見直した。,,,,,★★★,,,🔴 必須
62,suppose,,動/句,,IELTS VOCAB,〜と思う；仮定する,"The UX designer used the term ""suppose"" when describing how to improve the mobile form.",UXデザイナーは、モバイルフォームを改善する方法を説明する際に「suppose」という語を使った。,,,,,★★★,,,🔴 必須
63,immediately,,名/他,,IELTS VOCAB,すぐに；直ちに,"The UX designer used the term ""immediately"" when describing how to improve the design system.",UXデザイナーは、デザインシステムを改善する方法を説明する際に「immediately」という語を使った。,,,,,★★★,,,🔴 必須
64,opportunity,,名/他,,IELTS VOCAB,機会；チャンス,The usability test revealed an opportunity to simplify the account setup flow.,ユーザビリティテストにより、アカウント設定フローを簡素化する機会が明らかになった。,,,,,★★★,,,🔴 必須
65,film,,動/句,,IELTS VOCAB,映画；撮影する,"The UX designer used the term ""film"" when describing how to improve the checkout form.",UXデザイナーは、チェックアウトフォームを改善する方法を説明する際に「film」という語を使った。,,,,,★★★,,,🔴 必須
66,trust,,名/他,,IELTS VOCAB,信頼；信託；信じる,The UX designer documented the trust in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する信頼、信託、信じるを記録した。,,,,,★★★,,,🔴 必須
67,effective,,形,,IELTS VOCAB,効果的な；有効な,The most effective microcopy tells users what to do next.,最も効果的なマイクロコピーは、次に何をすべきかをユーザーに伝える。,,,,,★★★,,,🔴 必須
68,region,,名/他,,IELTS VOCAB,地域；地方,The UX designer localized the date format for each region.,UXデザイナーは、各地域に合わせて日付形式をローカライズした。,,,,,★★★,,,🔴 必須
69,degree,,名/他,,IELTS VOCAB,程度；学位；度,The UX designer documented the degree in the design review so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、デザインレビューに関する程度、学位、度を記録した。,,,,,★★★,,,🔴 必須
70,traditional,,形,,IELTS VOCAB,伝統的な,The UX designer wrote a traditional note about the prototype test in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、プロトタイプテストについて「伝統的な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
71,election,,名/他,,IELTS VOCAB,選挙,The UX designer documented the election in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する選挙を記録した。,,,,,★★★,,,🔴 必須
72,parliament,,名/他,,IELTS VOCAB,議会；国会,The UX designer documented the parliament in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する議会、国会を記録した。,,,,,★★★,,,🔴 必須
73,review,,名/他,,IELTS VOCAB,評価；見直す；レビュー,The UX designer scheduled a design review before the prototype test.,UXデザイナーはプロトタイプテストの前にデザインレビューを予定した。,,,,,★★★,,,🔴 必須
74,species,,名/他,,IELTS VOCAB,種（生物）,The UX designer documented the species in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する種（生物）を記録した。,,,,,★★★,,,🔴 必須
75,supply,,動/句,,IELTS VOCAB,供給；提供する,"The UX designer used the term ""supply"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「supply」という語を使った。,,,,,★★★,,,🔴 必須
78,physical,,形,,IELTS VOCAB,物理的な；身体的な,The UX designer wrote a physical note about the mobile form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、モバイルフォームについて「物理的な、身体的な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
79,complex,,形,,IELTS VOCAB,複雑な,The UX designer wrote a complex note about the design system in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインシステムについて「複雑な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
80,responsibility,,名/他,,IELTS VOCAB,責任,The UX designer documented the responsibility in the onboarding flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、オンボーディングフローに関する責任を記録した。,,,,,★★★,,,🔴 必須
81,opposition,,名/他,,IELTS VOCAB,反対；野党,The UX designer documented the opposition in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する反対、野党を記録した。,,,,,★★★,,,🔴 必須
82,division,,名/他,,IELTS VOCAB,分割；部門,The UX designer documented the division in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する分割、部門を記録した。,,,,,★★★,,,🔴 必須
83,surface,,名/他,,IELTS VOCAB,表面；水面,The UX designer documented the surface in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する表面、水面を記録した。,,,,,★★★,,,🔴 必須
84,equipment,,名/他,,IELTS VOCAB,設備；機器,The UX designer documented the equipment in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する設備、機器を記録した。,,,,,★★★,,,🔴 必須
85,suggest,,動/句,,IELTS VOCAB,提案する；示唆する,"The UX designer used the term ""suggest"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「suggest」という語を使った。,,,,,★★★,,,🔴 必須
86,exchange,,動/句,,IELTS VOCAB,交換する；取引所,"The UX designer used the term ""exchange"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「exchange」という語を使った。,,,,,★★★,,,🔴 必須
87,otherwise,,形,,IELTS VOCAB,さもなければ；別の方法で,The UX designer wrote a otherwise note about the content guideline in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、コンテンツガイドラインについて「さもなければ、別の方法で」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
88,essential,,形,,IELTS VOCAB,不可欠な；本質的な,The UX designer wrote a essential note about the accessibility audit in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アクセシビリティ監査について「不可欠な、本質的な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
89,function,,名/他,,IELTS VOCAB,機能；役割,The UX designer documented the function in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する機能、役割を記録した。,,,,,★★★,,,🔴 必須
90,slightly,,名/他,,IELTS VOCAB,わずかに；少し,The UX designer documented the slightly in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関するわずかに、少しを記録した。,,,,,★★★,,,🔴 必須
91,aid,,名/他,,IELTS VOCAB,援助；助ける,The UX designer documented the aid in the support article so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、サポート記事に関する援助、助けるを記録した。,,,,,★★★,,,🔴 必須
92,transport,,名/他,,IELTS VOCAB,輸送；交通機関,The UX designer documented the transport in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する輸送、交通機関を記録した。,,,,,★★★,,,🔴 必須
94,civil,,名/他,,IELTS VOCAB,市民の；礼儀正しい；民事の,The UX designer wrote a civil note about the mobile form in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、モバイルフォームについて「市民の、礼儀正しい、民事の」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
95,hardly,,動/句,,IELTS VOCAB,ほとんど〜ない；やっと,The UX designer wrote a hardly note about the design system in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインシステムについて「ほとんど〜ない、やっと」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
96,obvious,,形,,IELTS VOCAB,明らかな；明白な,The UX designer wrote a obvious note about the onboarding flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、オンボーディングフローについて「明らかな、明白な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
97,organisation,,名/他,,IELTS VOCAB,組織；団体,The UX designer documented the organisation in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する組織、団体を記録した。,,,,,★★★,,,🔴 必須
98,argument,,名/他,,IELTS VOCAB,議論；主張,The UX designer documented the argument in the settings page so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、設定画面に関する議論、主張を記録した。,,,,,★★★,,,🔴 必須
99,patient,,名/他,,IELTS VOCAB,患者；忍耐強い,The UX designer documented the patient in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関する患者、忍耐強いを記録した。,,,,,★★★,,,🔴 必須
100,principle,,名/他,,IELTS VOCAB,原則；原理,The UX designer documented the principle in the research summary so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、リサーチ要約に関する原則、原理を記録した。,,,,,★★★,,,🔴 必須
101,stock,,名/他,,IELTS VOCAB,在庫；株式；蓄える,"The UX designer used the term ""stock"" when describing how to improve the design review.",UXデザイナーは、デザインレビューを改善する方法を説明する際に「stock」という語を使った。,,,,,★★★,,,🔴 必須
102,district,,名/他,,IELTS VOCAB,地区；地域,The UX designer documented the district in the prototype test so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、プロトタイプテストに関する地区、地域を記録した。,,,,,★★★,,,🔴 必須
103,executive,,名/他,,IELTS VOCAB,経営幹部；行政の,The UX designer documented the executive in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する経営幹部、行政のを記録した。,,,,,★★★,,,🔴 必須
104,neither,,動/句,,IELTS VOCAB,どちらも〜ない,The UX designer wrote a neither note about the accessibility audit in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、アクセシビリティ監査について「どちらも〜ない」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
105,duty,,名/他,,IELTS VOCAB,義務；職務,The UX designer documented the duty in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する義務、職務を記録した。,,,,,★★★,,,🔴 必須
106,presence,,名/他,,IELTS VOCAB,存在；出席,The UX designer documented the presence in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する存在、出席を記録した。,,,,,★★★,,,🔴 必須
107,avoid,,動/句,,IELTS VOCAB,避ける；回避する,"The UX designer used the term ""avoid"" when describing how to improve the support article.",UXデザイナーは、サポート記事を改善する方法を説明する際に「avoid」という語を使った。,,,,,★★★,,,🔴 必須
108,relatively,,形,,IELTS VOCAB,比較的,The UX designer wrote a relatively note about the error message in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、エラーメッセージについて「比較的」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
109,failure,,名/他,,IELTS VOCAB,失敗；欠如,The UX designer documented the failure in the confirmation screen so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、確認画面に関する失敗、欠如を記録した。,,,,,★★★,,,🔴 必須
111,due,,形,,IELTS VOCAB,期限の；適切な；到着予定の,The UX designer wrote a due note about the design system in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインシステムについて「期限の、適切な、到着予定の」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
112,practical,,形,,IELTS VOCAB,実用的な；実践的な,The UX designer wrote a practical note about the onboarding flow in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、オンボーディングフローについて「実用的な、実践的な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
113,latter,,名/他,,IELTS VOCAB,後者の；後半の,The UX designer documented the latter in the checkout form so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、チェックアウトフォームに関する後者の、後半のを記録した。,,,,,★★★,,,🔴 必須
114,huge,,形,,IELTS VOCAB,巨大な；莫大な,The UX designer wrote a huge note about the settings page in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、設定画面について「巨大な、莫大な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
115,apparently,,名/他,,IELTS VOCAB,どうやら；見たところ,The UX designer documented the apparently in the account setup flow so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アカウント設定フローに関するどうやら、見たところを記録した。,,,,,★★★,,,🔴 必須
116,grant,,名/他,,IELTS VOCAB,助成金；与える,"The UX designer used the term ""grant"" when describing how to improve the research summary.",UXデザイナーは、リサーチ要約を改善する方法を説明する際に「grant」という語を使った。,,,,,★★★,,,🔴 必須
117,applied,,形,,IELTS VOCAB,応用の；実用的な,The UX designer wrote a applied note about the design review in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、デザインレビューについて「応用の、実用的な」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
118,finance,,動/句,,IELTS VOCAB,財政；資金調達する,"The UX designer used the term ""finance"" when describing how to improve the prototype test.",UXデザイナーは、プロトタイプテストを改善する方法を説明する際に「finance」という語を使った。,,,,,★★★,,,🔴 必須
119,merely,,動/句,,IELTS VOCAB,単に；ただ〜だけ,The UX designer documented the merely in the content guideline so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、コンテンツガイドラインに関する単に、ただ〜だけを記録した。,,,,,★★★,,,🔴 必須
120,setting,,名/他,,IELTS VOCAB,設定；環境；背景,The UX designer documented the setting in the accessibility audit so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、アクセシビリティ監査に関する設定、環境、背景を記録した。,,,,,★★★,,,🔴 必須
121,quarter,,名/他,,IELTS VOCAB,四分の一；四半期,The UX designer documented the quarter in the navigation model so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ナビゲーションモデルに関する四分の一、四半期を記録した。,,,,,★★★,,,🔴 必須
122,politics,,名/他,,IELTS VOCAB,政治；政治学,The UX designer documented the politics in the dashboard layout so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、ダッシュボードレイアウトに関する政治、政治学を記録した。,,,,,★★★,,,🔴 必須
123,justice,,名/他,,IELTS VOCAB,正義；司法,The UX designer wrote a justice note about the support article in the design handoff.,UXデザイナーはデザイン引き継ぎ資料で、サポート記事について「正義、司法」という意味合いのメモを書いた。,,,,,★★★,,,🔴 必須
124,credit,,名/他,,IELTS VOCAB,信用；単位；功績,The UX designer documented the credit in the error message so the team could align on the user experience.,UXデザイナーはチームがユーザー体験について認識を合わせられるように、エラーメッセージに関する信用、単位、功績を記録した。,,,,,★★★,,,🔴 必須
